,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,summary
53,Katharine O'Brien,Simon Pegg,Juno Temple,Alexandra Daddario,Drama,lost transmissions,Simon Pegg Juno Temple Alexandra Daddario Katharine O'Brien Drama
54,Jonathan Jakubowicz,Jesse Eisenberg,Ed Harris,Clémence Poésy,War History Drama,resistance,Jesse Eisenberg Ed Harris Clémence Poésy Jonathan Jakubowicz War History Drama
55,Prentice Penny,Mamoudou Athie,Courtney B. Vance,Niecy Nash,Drama Comedy,uncorked,Mamoudou Athie Courtney B. Vance Niecy Nash Prentice Penny Drama Comedy
57,Michael Dowse,Ed Helms,Taraji P. Henson,Betty Gilpin,Comedy Action Crime,coffee & kareem,Ed Helms Taraji P. Henson Betty Gilpin Michael Dowse Comedy Action Crime
58,Walt Dohrn,Anna Kendrick,Justin Timberlake,Rachel Bloom,Family Animation Comedy Fantasy Adventure Music,trolls world tour,Anna Kendrick Justin Timberlake Rachel Bloom Walt Dohrn Family Animation Comedy Fantasy Adventure Music
59,Dean Craig,Olivia Munn,Sam Claflin,Freida Pinto,Comedy Romance,love wedding repeat,Olivia Munn Sam Claflin Freida Pinto Dean Craig Comedy Romance
60,Jay Karas,Seth Carr,Tichina Arnold,Ken Marino,Family Comedy,the main event,Seth Carr Tichina Arnold Ken Marino Jay Karas Family Comedy
61,Marc Meyers,Alexandra Daddario,Keean Johnson,Logan Miller,Horror Thriller,we summon the darkness,Alexandra Daddario Keean Johnson Logan Miller Marc Meyers Horror Thriller
62,Vicky Wight,Leslie Bibb,Josh Duhamel,Nora Dunn,Romance Drama,the lost husband,Leslie Bibb Josh Duhamel Nora Dunn Vicky Wight Romance Drama
63,Charles Band,Cody Renee Cameron,Russell Coker,Robin Sydney,Horror Comedy,corona zombies,Cody Renee Cameron Russell Coker Robin Sydney Charles Band Horror Comedy
64,Greg Barker,Wagner Moura,Ana de Armas,Garret Dillahunt,Drama,sergio,Wagner Moura Ana de Armas Garret Dillahunt Greg Barker Drama
65,Kris Pearn,Will Forte,Maya Rudolph,Alessia Cara,Animation Comedy Family,the willoughbys,Will Forte Maya Rudolph Alessia Cara Kris Pearn Animation Comedy Family
66,Sam Hargrave,Chris Hemsworth,Rudhraksh Jaiswal,Randeep Hooda,Drama Action Thriller,extraction,Chris Hemsworth Rudhraksh Jaiswal Randeep Hooda Sam Hargrave Drama Action Thriller
67,Sean McEwen,Tom Felton,Tammin Sursok,Wendi McLendon-Covey,Drama Comedy,braking for whales,Tom Felton Tammin Sursok Wendi McLendon-Covey Sean McEwen Drama Comedy
68,Cory Finley,Hugh Jackman,Allison Janney,Geraldine Viswanathan,Drama Crime History TV Movie,bad education,Hugh Jackman Allison Janney Geraldine Viswanathan Cory Finley Drama Crime History TV Movie
69,Michael Scott,Camila Mendes,Jessie T. Usher,Jamie Chung,Thriller,dangerous lies,Camila Mendes Jessie T. Usher Jamie Chung Michael Scott Thriller
70,Joe Robert Cole,Ashton Sanders,Jeffrey Wright,Yahya Abdul-Mateen II,Drama,all day and a night,Ashton Sanders Jeffrey Wright Yahya Abdul-Mateen II Joe Robert Cole Drama
71,The Pierce Brothers,John-Paul Howard,Piper Curda,Zarah Mahler,Horror Mystery Thriller,the wretched,John-Paul Howard Piper Curda Zarah Mahler The Pierce Brothers Horror Mystery Thriller
72,Alice Wu,Leah Lewis,Daniel Diemer,Alexxis Lemire,Comedy Romance,the half of it,Leah Lewis Daniel Diemer Alexxis Lemire Alice Wu Comedy Romance
73,Clark Duke,Liam Hemsworth,Clark Duke,Michael Kenneth Williams,Crime,arkansas,Liam Hemsworth Clark Duke Michael Kenneth Williams Clark Duke Crime
74,Rachel Lee Goldenberg,Jessica Rothe,Josh Whitehouse,Mae Whitman,Comedy Romance,valley girl,Jessica Rothe Josh Whitehouse Mae Whitman Rachel Lee Goldenberg Comedy Romance
75,Josh Trank,Tom Hardy,Linda Cardellini,Jack Lowden,Crime Drama,capone,Tom Hardy Linda Cardellini Jack Lowden Josh Trank Crime Drama
76,Tyler Spindel,David Spade,Lauren Lapkus,Geoff Pierson,Comedy Romance,the wrong missy,David Spade Lauren Lapkus Geoff Pierson Tyler Spindel Comedy Romance
77,Tony Cervone,Will Forte,Mark Wahlberg,Jason Isaacs,Animation Family Comedy Adventure,scoob!,Will Forte Mark Wahlberg Jason Isaacs Tony Cervone Animation Family Comedy Adventure
78,John Barr,Tom Berenger,Kristen Hager,Mark Sivertsen,Thriller Crime,blood and money,Tom Berenger Kristen Hager Mark Sivertsen John Barr Thriller Crime
79,Malik Vitthal,Mary J. Blige,Nat Wolff,David Zayas,Horror Thriller Mystery,body cam,Mary J. Blige Nat Wolff David Zayas Malik Vitthal Horror Thriller Mystery
80,Michael Showalter,Issa Rae,Kumail Nanjiani,Paul Sparks,Comedy Action Romance,the lovebirds,Issa Rae Kumail Nanjiani Paul Sparks Michael Showalter Comedy Action Romance
81,Vaughn Stein,Lily Collins,Simon Pegg,Chace Crawford,Thriller,inheritance,Lily Collins Simon Pegg Chace Crawford Vaughn Stein Thriller
84,Nisha Ganatra,Dakota Johnson,Tracee Ellis Ross,Kelvin Harrison Jr.,Romance Comedy Music Drama,the high note,Dakota Johnson Tracee Ellis Ross Kelvin Harrison Jr. Nisha Ganatra Romance Comedy Music Drama
85,Josephine Decker,Elisabeth Moss,Michael Stuhlbarg,Odessa Young,Drama Thriller,shirley,Elisabeth Moss Michael Stuhlbarg Odessa Young Josephine Decker Drama Thriller
86,Olivier Megaton,Édgar Ramírez,Anna Brewster,Michael Pitt,Action Crime Thriller,the last days of american crime,Édgar Ramírez Anna Brewster Michael Pitt Olivier Megaton Action Crime Thriller
87,"Jonathan Milott, Cary Murnion",Lulu Wilson,Kevin James,Joel McHale,Thriller Crime Horror,becky,"Lulu Wilson Kevin James Joel McHale Jonathan Milott, Cary Murnion Thriller Crime Horror"
89,Spike Lee,Delroy Lindo,Jonathan Majors,Clarke Peters,War Drama,da 5 bloods,Delroy Lindo Jonathan Majors Clarke Peters Spike Lee War Drama
90,Kenneth Branagh,Ferdia Shaw,Lara McDonnell,Josh Gad,Adventure Fantasy Science Fiction Family Action,artemis fowl,Ferdia Shaw Lara McDonnell Josh Gad Kenneth Branagh Adventure Fantasy Science Fiction Family Action
91,Judd Apatow,Pete Davidson,Marisa Tomei,Bill Burr,Comedy Drama,the king of staten island,Pete Davidson Marisa Tomei Bill Burr Judd Apatow Comedy Drama
92,Kaare Andrews,Chad Michael Collins,Tom Berenger,Sayaka Akimoto,Action,sniper: assassin's end,Chad Michael Collins Tom Berenger Sayaka Akimoto Kaare Andrews Action
94,Olivier Assayas,Penélope Cruz,Édgar Ramírez,Gael García Bernal,Drama History Thriller,wasp network,Penélope Cruz Édgar Ramírez Gael García Bernal Olivier Assayas Drama History Thriller
95,Elissa Down,Elissa Down (director); Sofia Carson,Enrico Colantoni,Wolfgang Novogratz,Comedy Music Drama,feel the beat,Elissa Down (director); Sofia Carson Enrico Colantoni Wolfgang Novogratz Elissa Down Comedy Music Drama
98,David Dobkin,Will Ferrell,Rachel McAdams,Dan Stevens,Comedy Music,eurovision song contest: the story of fire saga,Will Ferrell Rachel McAdams Dan Stevens David Dobkin Comedy Music
99,Jon Stewart,Steve Carell,Chris Cooper,Mackenzie Davis,Comedy Drama,irresistible,Steve Carell Chris Cooper Mackenzie Davis Jon Stewart Comedy Drama
100,Peter Segal,Dave Bautista,Chloe Coleman,Kristen Schaal,Family Action Comedy,my spy,Dave Bautista Chloe Coleman Kristen Schaal Peter Segal Family Action Comedy
101,Thomas Kail,Thomas Kail (director); Lin-Manuel Miranda,Phillipa Soo,Leslie Odom Jr.,Music History Drama,hamilton,Thomas Kail (director); Lin-Manuel Miranda Phillipa Soo Leslie Odom Jr. Thomas Kail Music History Drama
102,Natalie Erika James,Emily Mortimer,Robyn Nevin,Bella Heathcote,Horror Drama Mystery Thriller,relic,Emily Mortimer Robyn Nevin Bella Heathcote Natalie Erika James Horror Drama Mystery Thriller
103,LP,Anna Camp,Robbie Amell,Nasim Pedrad,Comedy Romance,desperados,Anna Camp Robbie Amell Nasim Pedrad LP Comedy Romance
104,Gina Prince-Bythewood,Charlize Theron,KiKi Layne,Marwan Kenzari,Action Fantasy,the old guard,Charlize Theron KiKi Layne Marwan Kenzari Gina Prince-Bythewood Action Fantasy
105,Aaron Schneider,Tom Hanks,Stephen Graham,Rob Morgan,War Action Drama,greyhound,Tom Hanks Stephen Graham Rob Morgan Aaron Schneider War Action Drama
106,Max Barbakow,Andy Samberg,Cristin Milioti,Peter Gallagher,Comedy Romance,palm springs,Andy Samberg Cristin Milioti Peter Gallagher Max Barbakow Comedy Romance
107,Peter Sullivan,Nia Long,Omar Epps,Stephen Bishop,Thriller,fatal affair,Nia Long Omar Epps Stephen Bishop Peter Sullivan Thriller
108,Robin Pront,Annabelle Wallis,Hero Fiennes-Tiffin,Nikolaj Coster-Waldau,Action Crime Thriller,the silencing,Annabelle Wallis Hero Fiennes-Tiffin Nikolaj Coster-Waldau Robin Pront Action Crime Thriller
109,The Brothers Riedell,Lucy Hale,Leonidas Gulaptis,Jackie Cruz,Comedy Romance,a nice girl like you,Lucy Hale Leonidas Gulaptis Jackie Cruz The Brothers Riedell Comedy Romance
110,Eric Bress,Brenton Thwaites,Theo Rossi,Skylar Astin,Horror Thriller War Fantasy,ghosts of war,Brenton Thwaites Theo Rossi Skylar Astin Eric Bress Horror Thriller War Fantasy
111,"Scott Christian Sava, Tony Bancroft",John Krasinski,Emily Blunt,Ian McKellen,Comedy Animation Adventure,animal crackers,"John Krasinski Emily Blunt Ian McKellen Scott Christian Sava, Tony Bancroft Comedy Animation Adventure"
112,Vince Marcello,Joey King,Joel Courtney,Jacob Elordi,Comedy Romance,the kissing booth 2,Joey King Joel Courtney Jacob Elordi Vince Marcello Comedy Romance
113,Dave Franco,Dan Stevens,Alison Brie,Sheila Vand,Horror,the rental,Dan Stevens Alison Brie Sheila Vand Dave Franco Horror
114,John Pogue,Tania Raymonde,Nathaniel Buzolic,Emerson Brooks,Action Horror Science Fiction,deep blue sea 3,Tania Raymonde Nathaniel Buzolic Emerson Brooks John Pogue Action Horror Science Fiction
116,Andy Tennant,Katie Holmes,Josh Lucas,Jerry O'Connell,Drama Romance,the secret: dare to dream,Katie Holmes Josh Lucas Jerry O'Connell Andy Tennant Drama Romance
117,Jessica Swale,Gemma Arterton,Gugu Mbatha-Raw,Penelope Wilton,Drama War Romance,summerland,Gemma Arterton Gugu Mbatha-Raw Penelope Wilton Jessica Swale Drama War Romance
118,Amy Seimetz,Kate Lyn Sheil,Jane Adams,Kentucker Audley,Drama,she dies tomorrow,Kate Lyn Sheil Jane Adams Kentucker Audley Amy Seimetz Drama
120,David Ayer,Bobby Soto,Shia LaBeouf,Cinthya Carmona,Action Crime Drama,the tax collector,Bobby Soto Shia LaBeouf Cinthya Carmona David Ayer Action Crime Drama
121,Ciro Guerra,Mark Rylance,Johnny Depp,Robert Pattinson,Drama History,waiting for the barbarians,Mark Rylance Johnny Depp Robert Pattinson Ciro Guerra Drama History
122,"Henry Joost, Ariel Schulman",Jamie Foxx,Joseph Gordon-Levitt,Dominique Fishback,Action Crime Science Fiction,project power,"Jamie Foxx Joseph Gordon-Levitt Dominique Fishback Henry Joost, Ariel Schulman Action Crime Science Fiction"
123,Mark Waters,Adam DeVine,Gillian Jacobs,Jeffrey Tambor,Comedy Family Fantasy,magic camp,Adam DeVine Gillian Jacobs Jeffrey Tambor Mark Waters Comedy Family Fantasy
125,Eugene Kotlyarenko,Joe Keery,Sasheer Zamata,Mischa Barton,Horror Comedy Crime Thriller,spree,Joe Keery Sasheer Zamata Mischa Barton Eugene Kotlyarenko Horror Comedy Crime Thriller
127,Thea Sharrock,Sam Rockwell,Angelina Jolie,Danny DeVito,Family Comedy Drama,the one and only ivan,Sam Rockwell Angelina Jolie Danny DeVito Thea Sharrock Family Comedy Drama
128,Derrick Borte,Russell Crowe,Caren Pistorius,Gabriel Bateman,Action Thriller,unhinged,Russell Crowe Caren Pistorius Gabriel Bateman Derrick Borte Action Thriller
129,Michael Almereyda,Ethan Hawke,Eve Hewson,Ebon Moss-Bachrach,Drama History,tesla,Ethan Hawke Eve Hewson Ebon Moss-Bachrach Michael Almereyda Drama History
130,RZA,Shameik Moore,T.I.,Demetrius Shipp Jr.,Action Crime Drama Thriller,cut throat city,Shameik Moore T.I. Demetrius Shipp Jr. RZA Action Crime Drama Thriller
131,Thor Freudenthal,Charlie Plummer,Andy García,Taylor Russell,Drama Romance,words on bathroom walls,Charlie Plummer Andy García Taylor Russell Thor Freudenthal Drama Romance
134,Christopher Nolan,John David Washington,Robert Pattinson,Elizabeth Debicki,Action Thriller Science Fiction,tenet,John David Washington Robert Pattinson Elizabeth Debicki Christopher Nolan Action Thriller Science Fiction
135,Dean Parisot,Keanu Reeves,Alex Winter,Kristen Schaal,Comedy Science Fiction Adventure,bill & ted face the music,Keanu Reeves Alex Winter Kristen Schaal Dean Parisot Comedy Science Fiction Adventure
136,Josh Boone,Maisie Williams,Anya Taylor-Joy,Charlie Heaton,Horror Science Fiction,the new mutants,Maisie Williams Anya Taylor-Joy Charlie Heaton Josh Boone Horror Science Fiction
137,Armando Iannucci,Dev Patel,Aneurin Barnard,Peter Capaldi,Drama Comedy,the personal history of david copperfield,Dev Patel Aneurin Barnard Peter Capaldi Armando Iannucci Drama Comedy
138,Charlie Kaufman,Jesse Plemons,Jessie Buckley,Toni Collette,Drama Thriller,i'm thinking of ending things,Jesse Plemons Jessie Buckley Toni Collette Charlie Kaufman Drama Thriller
139,Bob Bowen,Vincent Martella,Ashley Tisdale,David Errigo Jr.,Family Animation Science Fiction Comedy TV Movie,phineas and ferb the movie: candace against the universe,Vincent Martella Ashley Tisdale David Errigo Jr. Bob Bowen Family Animation Science Fiction Comedy TV Movie
140,Brett Haley,Auliʻi Cravalho,Rhenzy Feliz,Judy Reyes,Drama,all together now,Auliʻi Cravalho Rhenzy Feliz Judy Reyes Brett Haley Drama
142,Brendan Walsh,Genesis Rodriguez,Vincent Piazza,Louis Cancelmi,Thriller,centigrade,Genesis Rodriguez Vincent Piazza Louis Cancelmi Brendan Walsh Thriller
143,Jeremy Garelick,Skyler Gisondo,Eduardo Franco,Dexter Darden,Comedy,the binge,Skyler Gisondo Eduardo Franco Dexter Darden Jeremy Garelick Comedy
145,Niki Caro,Liu Yifei,Donnie Yen,Tzi Ma,Adventure Fantasy,mulan,Liu Yifei Donnie Yen Tzi Ma Niki Caro Adventure Fantasy
146,John Leguizamo,John Leguizamo,Jorge Lendeborg Jr.,Angel Bismark Curiel,Drama,critical thinking,John Leguizamo Jorge Lendeborg Jr. Angel Bismark Curiel John Leguizamo Drama
147,Julius Berg,Maisie Williams,Sylvester McCoy,Rita Tushingham,Thriller Horror,the owners,Maisie Williams Sylvester McCoy Rita Tushingham Julius Berg Thriller Horror
148,Sam Macaroni,Pauly Shore,Mike Castle,Aimee Teegarden,Comedy,guest house,Pauly Shore Mike Castle Aimee Teegarden Sam Macaroni Comedy
149,McG,Judah Lewis,Emily Alyn Lind,Jenna Ortega,Comedy Horror,the babysitter: killer queen,Judah Lewis Emily Alyn Lind Jenna Ortega McG Comedy Horror
150,Rachel Lee Goldenberg,Haley Lu Richardson,Barbie Ferreira,Alex MacNicoll,Drama Comedy,unpregnant,Haley Lu Richardson Barbie Ferreira Alex MacNicoll Rachel Lee Goldenberg Drama Comedy
151,Antonio Campos,Tom Holland,Bill Skarsgård,Riley Keough,Crime Drama Thriller,the devil all the time,Tom Holland Bill Skarsgård Riley Keough Antonio Campos Crime Drama Thriller
152,Natalie Krinsky,Geraldine Viswanathan,Dacre Montgomery,Utkarsh Ambudkar,Comedy Romance,the broken hearts gallery,Geraldine Viswanathan Dacre Montgomery Utkarsh Ambudkar Natalie Krinsky Comedy Romance
153,Luke Eve,Brenton Thwaites,Lily Sullivan,Joel Jackson,Comedy Drama Romance,i met a girl,Brenton Thwaites Lily Sullivan Joel Jackson Luke Eve Comedy Drama Romance
154,Jon Stevenson,Wil Wheaton,Brian Landis Folkins,Kathleen Brady,Horror Thriller,rent-a-pal,Wil Wheaton Brian Landis Folkins Kathleen Brady Jon Stevenson Horror Thriller
155,Sean McNamara,Melissa Rauch,Max Greenfield,George Lopez,Comedy Action,cats & dogs 3: paws unite!,Melissa Rauch Max Greenfield George Lopez Sean McNamara Comedy Action
156,Yuval Adler,Noomi Rapace,Joel Kinnaman,Chris Messina,Thriller History,the secrets we keep,Noomi Rapace Joel Kinnaman Chris Messina Yuval Adler Thriller History
157,"Gerard Bush, Christopher Renz (directors/screenplay); Janelle Monáe, Eric Lange, Jena Malone, Jack Huston, Kiersey Clemons, Gabourey Sidibe",Janelle Monáe,Eric Lange,Jena Malone,Horror,antebellum,"Janelle Monáe Eric Lange Jena Malone Gerard Bush, Christopher Renz (directors/screenplay); Janelle Monáe, Eric Lange, Jena Malone, Jack Huston, Kiersey Clemons, Gabourey Sidibe Horror"
158,Sean Durkin,Jude Law,Carrie Coon,Charlie Shotwell,Drama Romance,the nest,Jude Law Carrie Coon Charlie Shotwell Sean Durkin Drama Romance
159,Roger Michell,Susan Sarandon,Kate Winslet,Mia Wasikowska,Drama,blackbird,Susan Sarandon Kate Winslet Mia Wasikowska Roger Michell Drama
160,William Olsson,Alexandra Daddario,Takehiro Hira,Carice van Houten,Drama,lost girls & love hotels,Alexandra Daddario Takehiro Hira Carice van Houten William Olsson Drama
161,Taylor A. Purdee,Taylor A. Purdee,John Donchak,Nathan Purdee,Drama Music,killian & the comeback kids,Taylor A. Purdee John Donchak Nathan Purdee Taylor A. Purdee Drama Music
162,Harry Bradbeer,Millie Bobby Brown,Henry Cavill,Sam Claflin,Mystery Crime Adventure,enola holmes,Millie Bobby Brown Henry Cavill Sam Claflin Harry Bradbeer Mystery Crime Adventure
163,Aaron Sorkin,Yahya Abdul-Mateen II,Sacha Baron Cohen,Danny Flaherty,Drama History,the trial of the chicago 7,Yahya Abdul-Mateen II Sacha Baron Cohen Danny Flaherty Aaron Sorkin Drama History
164,Tate Taylor,Jessica Chastain,John Malkovich,Common,Action Crime Drama Thriller,ava,Jessica Chastain John Malkovich Common Tate Taylor Action Crime Drama Thriller
165,Miranda July,Evan Rachel Wood,Richard Jenkins,Debra Winger,Crime Drama Comedy,kajillionaire,Evan Rachel Wood Richard Jenkins Debra Winger Miranda July Crime Drama Comedy
166,Andrew Cohn,Richard Jenkins,Shane Paul McGhie,Da'Vine Joy Randolph,Comedy Drama,the last shift,Richard Jenkins Shane Paul McGhie Da'Vine Joy Randolph Andrew Cohn Comedy Drama
167,Anna Mastro,Peyton Elizabeth Lee,Skylar Astin,Élodie Yung,Action Adventure Comedy Fantasy,secret society of second-born royals,Peyton Elizabeth Lee Skylar Astin Élodie Yung Anna Mastro Action Adventure Comedy Fantasy
168,Marc Carlini,Tommy Dewey,François Arnaud,Minka Kelly,Comedy Drama,she's in portland,Tommy Dewey François Arnaud Minka Kelly Marc Carlini Comedy Drama
170,Joe Mantello,Jim Parsons,Zachary Quinto,Matt Bomer,Drama,the boys in the band,Jim Parsons Zachary Quinto Matt Bomer Joe Mantello Drama
171,Julie Taymor,Julianne Moore,Alicia Vikander,Timothy Hutton,Drama,the glorias,Julianne Moore Alicia Vikander Timothy Hutton Julie Taymor Drama
