,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,summary
211,Jacob Chase,Gillian Jacobs,John Gallagher Jr.,Azhy Robertson,Horror Mystery,come play,Gillian Jacobs John Gallagher Jr. Azhy Robertson Jacob Chase Horror Mystery
214,Max Winkler,Charlie Hunnam,Jack O'Connell,Jessica Barden,Drama,jungleland,Charlie Hunnam Jack O'Connell Jessica Barden Max Winkler Drama
215,Thomas Bezucha,Diane Lane,Kevin Costner,Lesley Manville,Drama Thriller Crime,let him go,Diane Lane Kevin Costner Lesley Manville Thomas Bezucha Drama Thriller Crime
216,Andrea Di Stefano,Joel Kinnaman,Rosamund Pike,Common,Drama Crime Thriller,the informer,Joel Kinnaman Rosamund Pike Common Andrea Di Stefano Drama Crime Thriller
217,Bryan Bertino,Marin Ireland,Michael Abbott Jr.,Xander Berkeley,Horror,the dark and the wicked,Marin Ireland Michael Abbott Jr. Xander Berkeley Bryan Bertino Horror
218,Ron Howard,Amy Adams,Glenn Close,Gabriel Basso,Drama,hillbilly elegy,Amy Adams Glenn Close Gabriel Basso Ron Howard Drama
219,David Fincher,Gary Oldman,Amanda Seyfried,Lily Collins,Drama History,mank,Gary Oldman Amanda Seyfried Lily Collins David Fincher Drama History
220,Christopher Landon,Vince Vaughn,Kathryn Newton,Katie Finneran,Horror Thriller Comedy Fantasy,freaky,Vince Vaughn Kathryn Newton Katie Finneran Christopher Landon Horror Thriller Comedy Fantasy
221,David E. Talbert,Forest Whitaker,Keegan-Michael Key,Hugh Bonneville,Family Fantasy Music,jingle jangle: a christmas journey,Forest Whitaker Keegan-Michael Key Hugh Bonneville David E. Talbert Family Fantasy Music
222,Miles Joris-Peyrafitte,Finn Cole,Margot Robbie,Travis Fimmel,Thriller Drama,dreamland,Finn Cole Margot Robbie Travis Fimmel Miles Joris-Peyrafitte Thriller Drama
223,"Eshom Nelms, Ian Nelms (directors/screenplay); Mel Gibson, Walton Goggins, Marianne Jean-Baptiste",Mel Gibson,Walton Goggins,Marianne Jean-Baptiste,Action Comedy Fantasy,fatman,"Mel Gibson Walton Goggins Marianne Jean-Baptiste Eshom Nelms, Ian Nelms (directors/screenplay); Mel Gibson, Walton Goggins, Marianne Jean-Baptiste Action Comedy Fantasy"
224,Edoardo Ponti,Sophia Loren,Ibrahima Gueye,Abril Zamora,Drama,the life ahead,Sophia Loren Ibrahima Gueye Abril Zamora Edoardo Ponti Drama
225,Michael Angelo Covino,Kyle Marvin,Michael Angelo Covino,Gayle Rankin,Comedy Drama,the climb,Kyle Marvin Michael Angelo Covino Gayle Rankin Michael Angelo Covino Comedy Drama
226,Paul Leyden,Malin Åkerman,Bella Thorne,Fortune Feimster,Action Comedy,chick fight,Malin Åkerman Bella Thorne Fortune Feimster Paul Leyden Action Comedy
227,Michael Rohl,Vanessa Hudgens,Sam Palladio,Nick Sagar,Family Romance Comedy Drama,the princess switch: switched again,Vanessa Hudgens Sam Palladio Nick Sagar Michael Rohl Family Romance Comedy Drama
228,Aneesh Chaganty,Sarah Paulson,Kiera Allen,Pat Healy,Thriller Horror Drama,run,Sarah Paulson Kiera Allen Pat Healy Aneesh Chaganty Thriller Horror Drama
229,Darius Marder,Riz Ahmed,Olivia Cooke,Paul Raci,Drama Music,sound of metal,Riz Ahmed Olivia Cooke Paul Raci Darius Marder Drama Music
230,Dan Friedkin,Guy Pearce,Claes Bang,Vicky Krieps,Drama,the last vermeer,Guy Pearce Claes Bang Vicky Krieps Dan Friedkin Drama
231,Dimitri Logothetis,Alain Moussi,Frank Grillo,JuJu Chan,Fantasy Action Science Fiction,jiu jitsu,Alain Moussi Frank Grillo JuJu Chan Dimitri Logothetis Fantasy Action Science Fiction
232,Josh Duhamel,Josh Duhamel,Dax Shepard,Olivia Munn,Comedy Drama,buddy games,Josh Duhamel Dax Shepard Olivia Munn Josh Duhamel Comedy Drama
233,Joel Crawford,Nicolas Cage,Emma Stone,Ryan Reynolds,Animation Family Adventure Fantasy Comedy,the croods: a new age,Nicolas Cage Emma Stone Ryan Reynolds Joel Crawford Animation Family Adventure Fantasy Comedy
234,Clea DuVall,Kristen Stewart,Mackenzie Davis,Alison Brie,Romance Comedy,happiest season,Kristen Stewart Mackenzie Davis Alison Brie Clea DuVall Romance Comedy
235,George C. Wolfe,Viola Davis,Chadwick Boseman,Glynn Turman,Drama Music,ma rainey's black bottom,Viola Davis Chadwick Boseman Glynn Turman George C. Wolfe Drama Music
236,Chris Columbus,Kurt Russell,Goldie Hawn,Darby Camp,Family Fantasy Adventure Comedy,the christmas chronicles 2,Kurt Russell Goldie Hawn Darby Camp Chris Columbus Family Fantasy Adventure Comedy
237,Alan Ball,Paul Bettany,Sophia Lillis,Peter Macdissi,Drama,uncle frank,Paul Bettany Sophia Lillis Peter Macdissi Alan Ball Drama
238,Taylor Swift,Taylor Swift,Jack Antonoff,Aaron Dessner,Music Documentary,folklore: the long pond studio sessions,Taylor Swift Jack Antonoff Aaron Dessner Taylor Swift Music Documentary
239,Ben Falcone,Melissa McCarthy,Bobby Cannavale,Brian Tyree Henry,Comedy Science Fiction Romance,superintelligence,Melissa McCarthy Bobby Cannavale Brian Tyree Henry Ben Falcone Comedy Science Fiction Romance
240,Mitja Okorn,Jaden Smith,Cara Delevingne,Cuba Gooding Jr.,Drama Romance,life in a year,Jaden Smith Cara Delevingne Cuba Gooding Jr. Mitja Okorn Drama Romance
241,Ashley Avis,Mackenzie Foy,Kate Winslet,Claire Forlani,Drama,black beauty,Mackenzie Foy Kate Winslet Claire Forlani Ashley Avis Drama
242,Ryan Murphy,Meryl Streep,James Corden,Jo Ellen Pellman,Comedy Music Romance,the prom,Meryl Streep James Corden Jo Ellen Pellman Ryan Murphy Comedy Music Romance
243,Marc Meyers,Jessica Rothe,Harry Shum Jr.,Kyle Allen,Romance Drama,all my life,Jessica Rothe Harry Shum Jr. Kyle Allen Marc Meyers Romance Drama
244,Sharon Maguire,Isla Fisher,Jillian Bell,Santiago Cabrera,Family Fantasy Comedy,godmothered,Isla Fisher Jillian Bell Santiago Cabrera Sharon Maguire Family Fantasy Comedy
246,April Mullen,Aaron Eckhart,Katheryn Winnick,Heather Graham,Thriller Crime Mystery,wander,Aaron Eckhart Katheryn Winnick Heather Graham April Mullen Thriller Crime Mystery
247,Lawrence Michael Levine,Aubrey Plaza,Christopher Abbott,Sarah Gadon,Drama Comedy Thriller,black bear,Aubrey Plaza Christopher Abbott Sarah Gadon Lawrence Michael Levine Drama Comedy Thriller
248,Steven Soderbergh,Meryl Streep,Candice Bergen,Gemma Chan,Comedy Drama,let them all talk,Meryl Streep Candice Bergen Gemma Chan Steven Soderbergh Comedy Drama
249,George Clooney,George Clooney,Felicity Jones,David Oyelowo,Science Fiction Drama,the midnight sky,George Clooney Felicity Jones David Oyelowo George Clooney Science Fiction Drama
