,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,summary
0,Roseanne Liang,Chloë Grace Moretz,Taylor John Smith,Beulah Koale,Horror Action War,shadow in the cloud,Chloë Grace Moretz Taylor John Smith Beulah Koale Roseanne Liang Horror Action War
1,Ramin Bahrani,Adarsh Gourav,Rajkummar Rao,Priyanka Chopra Jonas,Crime Drama,the white tiger,Adarsh Gourav Rajkummar Rao Priyanka Chopra Jonas Ramin Bahrani Crime Drama
2,Doug Liman,Anne Hathaway,Chiwetel Ejiofor,Stephen Merchant,Comedy Crime Drama,locked down,Anne Hathaway Chiwetel Ejiofor Stephen Merchant Doug Liman Comedy Crime Drama
3,Simon Stone,Carey Mulligan,Ralph Fiennes,Lily James,Drama History,the dig,Carey Mulligan Ralph Fiennes Lily James Simon Stone Drama History
4,Mikael Håfström,Anthony Mackie,Damson Idris,Emily Beecham,Thriller Action Science Fiction,outside the wire,Anthony Mackie Damson Idris Emily Beecham Mikael Håfström Thriller Action Science Fiction
5,"Robert Lorenz (director/screenpaly); Chris Charles, Danny Kravitz (screenplay); Liam Neeson, Katheryn Winnick, Juan Pablo Raba, Teresa Ruiz",Liam Neeson,Katheryn Winnick,Juan Pablo Raba,Action Thriller Crime,the marksman,"Liam Neeson Katheryn Winnick Juan Pablo Raba Robert Lorenz (director/screenpaly); Chris Charles, Danny Kravitz (screenplay); Liam Neeson, Katheryn Winnick, Juan Pablo Raba, Teresa Ruiz Action Thriller Crime"
6,Nate Parker,Nate Parker,Omari Hardwick,Theo Rossi,Drama,american skin,Nate Parker Omari Hardwick Theo Rossi Nate Parker Drama
7,Alex McAulay,Jack Dylan Grazer,Fionn Whitehead,Rainn Wilson,Drama Thriller Crime,don't tell a soul,Jack Dylan Grazer Fionn Whitehead Rainn Wilson Alex McAulay Drama Thriller Crime
8,Gabriela Cowperthwaite,Jason Segel,Dakota Johnson,Casey Affleck,Drama Comedy Romance,our friend,Jason Segel Dakota Johnson Casey Affleck Gabriela Cowperthwaite Drama Comedy Romance
9,Conor Allyn,Jake Allyn,Frank Grillo,Jorge A. Jiménez,Western Action Adventure Thriller,no man's land,Jake Allyn Frank Grillo Jorge A. Jiménez Conor Allyn Western Action Adventure Thriller
10,Alex Ranarivelo,Sean Patrick Flanery,Dennis Quaid,Katrina Bowden,Action Drama,born a champion,Sean Patrick Flanery Dennis Quaid Katrina Bowden Alex Ranarivelo Action Drama
11,Mike P. Nelson,Charlotte Vega,Adain Bradley,Bill Sage,Horror Thriller,wrong turn,Charlotte Vega Adain Bradley Bill Sage Mike P. Nelson Horror Thriller
12,Glenda Ivin,Naomi Watts,Andrew Lincoln,Jacki Weaver,Drama,penguin bloom,Naomi Watts Andrew Lincoln Jacki Weaver Glenda Ivin Drama
13,John Lee Hancock,Denzel Washington,Rami Malek,Jared Leto,Thriller Crime,the little things,Denzel Washington Rami Malek Jared Leto John Lee Hancock Thriller Crime
14,Jude Weng,Kea Peahu,Alex Aiono,Lindsay Watson,Action Adventure Comedy Family,finding 'ohana,Kea Peahu Alex Aiono Lindsay Watson Jude Weng Action Adventure Comedy Family
15,Chloé Zhao,Frances McDormand,David Strathairn,Linda May,Drama,nomadland,Frances McDormand David Strathairn Linda May Chloé Zhao Drama
17,Fisher Stevens,Justin Timberlake,Juno Temple,Alisha Wainwright,Drama,palmer,Justin Timberlake Juno Temple Alisha Wainwright Fisher Stevens Drama
18,Viggo Mortensen,Viggo Mortensen,Lance Henriksen,Terry Chen,Thriller Action,falling,Viggo Mortensen Lance Henriksen Terry Chen Viggo Mortensen Thriller Action
20,Chad Hartigan,Olivia Cooke,Jack O'Connell,Raúl Castillo,Romance Science Fiction Drama,little fish,Olivia Cooke Jack O'Connell Raúl Castillo Chad Hartigan Romance Science Fiction Drama
21,Barry Alexander Brown,Lucas Till,Lucy Hale,Cedric the Entertainer,History Drama,son of the south,Lucas Till Lucy Hale Cedric the Entertainer Barry Alexander Brown History Drama
22,Ben Hozie,Julia Fox,Nikki Belfiglio,Austin Brown,Drama,pvt chat,Julia Fox Nikki Belfiglio Austin Brown Ben Hozie Drama
23,Sia,Kate Hudson,Leslie Odom Jr.,Maddie Ziegler,Music Drama,music,Kate Hudson Leslie Odom Jr. Maddie Ziegler Sia Music Drama
24,Shaka King,Daniel Kaluuya,Lakeith Stanfield,Jesse Plemons,Drama History,judas and the black messiah,Daniel Kaluuya Lakeith Stanfield Jesse Plemons Shaka King Drama History
25,Kevin Macdonald,Jodie Foster,Tahar Rahim,Shailene Woodley,Drama Thriller,the mauritanian,Jodie Foster Tahar Rahim Shailene Woodley Kevin Macdonald Drama Thriller
26,Tate Taylor,Allison Janney,Mila Kunis,Awkwafina,Comedy Drama Crime Thriller,breaking news in yuba county,Allison Janney Mila Kunis Awkwafina Tate Taylor Comedy Drama Crime Thriller
27,Josh Greenbaum,Kristen Wiig,Annie Mumolo,Jamie Dornan,Comedy,barb and star go to vista del mar,Kristen Wiig Annie Mumolo Jamie Dornan Josh Greenbaum Comedy
28,Lee Isaac Chung,Steven Yeun,Han Ye-ri,Alan Kim,Drama,minari,Steven Yeun Han Ye-ri Alan Kim Lee Isaac Chung Drama
29,Michael Fimognari,Lana Condor,Noah Centineo,Jordan Fisher,Romance Comedy Drama,to all the boys: always and forever,Lana Condor Noah Centineo Jordan Fisher Michael Fimognari Romance Comedy Drama
30,Mona Fastvold,Katherine Waterston,Vanessa Kirby,Christopher Abbott,Drama Romance Western,the world to come,Katherine Waterston Vanessa Kirby Christopher Abbott Mona Fastvold Drama Romance Western
31,Azazel Jacobs,Michelle Pfeiffer,Lucas Hedges,Tracy Letts,Comedy Drama,french exit,Michelle Pfeiffer Lucas Hedges Tracy Letts Azazel Jacobs Comedy Drama
32,Robin Wright,Robin Wright,Demián Bichir,Kim Dickens,Drama,land,Robin Wright Demián Bichir Kim Dickens Robin Wright Drama
33,Kevin Lewis,Nicolas Cage,Emily Tosta,Ric Reitz,Action Horror Comedy,willy's wonderland,Nicolas Cage Emily Tosta Ric Reitz Kevin Lewis Action Horror Comedy
34,Ian Samuels,Kathryn Newton,Kyle Allen,Al Madrigal,Fantasy Romance,the map of tiny perfect things,Kathryn Newton Kyle Allen Al Madrigal Ian Samuels Fantasy Romance
